time,leftEncoderCount,rightEncoderCount
rst:0x1,"(POWERON_RESET),boot:0x13",(SPI_FAST_FLASH_BOOT)
configsip:,"0,",SPIWP:0xee
"mode:DIO,",clock,div:1
2026,",",-1622
2036,",",-1618
2046,",",-1621
2056,",",-1622
2066,",",-1621
2076,",",-1622
2086,",",-1622
2096,",",-1621
2106,",",-1622
2116,",",-1621
2126,",",-1623
2136,",",-1620
2146,",",-1619
2156,",",-1588
2166,",",-1538
2176,",",-1491
2186,",",-1441
2196,",",-1387
2206,",",-1312
2216,",",-1232
2226,",",-1153
2236,",",-1059
2246,",",-947
2256,",",-822
2266,",",-688
2276,",",-513
2286,",",-319
2296,",",-102
2306,",",0
2316,",",94
2326,",",208
2336,",",313
2346,",",424
2356,",",534
2366,",",640
2376,",",729
2386,",",829
2396,",",928
2406,",",1023
2416,",",1126
2426,",",1225
2436,",",1315
2446,",",1421
2456,",",1525
2466,",",1631
2476,",",1736
2486,",",1831
2496,",",1930
2506,",",2028
2516,",",2124
2526,",",2209
2536,",",2284
2546,",",2372
2556,",",2448
2566,",",2535
2576,",",2627
2586,",",2713
2596,",",2800
2606,",",2886
2616,",",2967
2626,",",3071
2636,",",3184
2646,",",3309
2656,",",3449
2666,",",3601
2676,",",3783
2686,",",4023
2696,",",4096
2706,",",4175
2716,",",4279
2726,",",4375
2736,",",4481
2746,",",4590
2756,",",4689
2766,",",4789
2776,",",4879
2786,",",4982
2796,",",5085
2806,",",5195
2816,",",5297
2826,",",5410
2836,",",5520
2846,",",5631
2856,",",5771
2866,",",5899
2876,",",6028
2886,",",6152
2896,",",6259
2906,",",6365
2916,",",6474
2926,",",6578
2936,",",6690
2946,",",6790
2956,",",6891
2966,",",7003
2976,",",7118
2986,",",7248
2996,",",7380
3006,",",7524
3016,",",7679
3026,",",7869
3036,",",8093
3046,",",8192
3056,",",8272
3066,",",8373
3076,",",8474
3086,",",8559
3096,",",8653
3106,",",8747
3116,",",8837
3126,",",8915
3136,",",8994
3146,",",9075
3156,",",9155
3166,",",9246
3176,",",9332
3186,",",9423
3196,",",9509
3206,",",9584
3216,",",9661
3226,",",9759
3236,",",9853
3246,",",9942
3256,",",10029
3266,",",10112
3276,",",10202
3286,",",10291
3296,",",10375
3306,",",10455
3316,",",10537
3326,",",10621
3336,",",10691
3346,",",10789
3356,",",10871
3366,",",10959
3376,",",11055
3386,",",11147
3396,",",11248
3406,",",11375
3416,",",11511
3426,",",11639
3436,",",11793
3446,",",11975
3456,",",12212
3466,",",12288
3476,",",12379
3486,",",12483
3496,",",12577
3506,",",12679
3516,",",12785
3526,",",12891
3536,",",12984
3546,",",13077
3556,",",13162
3566,",",13257
3576,",",13358
3586,",",13456
3596,",",13562
3606,",",13651
3616,",",13754
3626,",",13858
3636,",",13968
3646,",",14074
3656,",",14181
3666,",",14276
3676,",",14371
3686,",",14462
3696,",",14551
3706,",",14652
3716,",",14746
3726,",",14842
3736,",",14944
3746,",",15037
3756,",",15121
3766,",",15218
3776,",",15329
3786,",",15447
3796,",",15583
3806,",",15729
3816,",",15899
3826,",",16091
3836,",",16311
3846,",",16384
3856,",",16478
3866,",",16586
3876,",",16687
3886,",",16786
3896,",",16890
3906,",",16998
3916,",",17088
3926,",",17183
3936,",",17275
3946,",",17367
3956,",",17466
3966,",",17562
3976,",",17650
3986,",",17753
3996,",",17856
4006,",",17961
4016,",",18064
4026,",",18161
4036,",",18268
4046,",",18368
4056,",",18467
4066,",",18560
4076,",",18640
4086,",",18738
4096,",",18832
4106,",",18929
4116,",",19027
4126,",",19120
4136,",",19207
4146,",",19309
4156,",",19411
4166,",",19530
4176,",",19659
4186,",",19801
4196,",",19957
4206,",",20144
4216,",",20373
4226,",",20480
4236,",",20553
4246,",",20672
4256,",",20769
4266,",",20871
4276,",",20969
4286,",",21077
4296,",",21170
4306,",",21269
4316,",",21355
4326,",",21445
4336,",",21550
4346,",",21643
4356,",",21743
4366,",",21835
4376,",",21931
4386,",",22015
4396,",",22139
4406,",",22252
4416,",",22352
4426,",",22448
4436,",",22544
4446,",",22640
4456,",",22732
4466,",",22830
4476,",",22918
4486,",",23008
4496,",",23105
4506,",",23200
4516,",",23292
4526,",",23399
4536,",",23510
4546,",",23626
4556,",",23742
4566,",",23883
4576,",",24054
4586,",",24240
4596,",",24447
4606,",",24576
4616,",",24649
4626,",",24763
4636,",",24866
4646,",",24973
4656,",",25072
4666,",",25176
4676,",",25265
4686,",",25360
4696,",",25454
4706,",",25552
4716,",",25653
4726,",",25745
4736,",",25843
4746,",",25947
4756,",",26046
4766,",",26153
4776,",",26257
4786,",",26359
4796,",",26462
4806,",",26571
4816,",",26672
4826,",",26768
4836,",",26858
4846,",",26951
4856,",",27043
4866,",",27133
4876,",",27232
4886,",",27321
4896,",",27417
4906,",",27521
4916,",",27621
4926,",",27742
4936,",",27872
4946,",",28021
4956,",",28222
4966,",",28401
4976,",",28606
4986,",",28672
4996,",",28775
5006,",",28888
5016,",",28999
5026,",",29098
5036,",",29195
5046,",",29294
5056,",",29389
5066,",",29482
5076,",",29577
5086,",",29659
5096,",",29760
5106,",",29857
5116,",",29959
5126,",",30060
5136,",",30151
5146,",",30256
5156,",",30371
5166,",",30473
5176,",",30576
5186,",",30673
5196,",",30769
5206,",",30851
5216,",",30959
5226,",",31056
5236,",",31138
5246,",",31231
5256,",",31334
5266,",",31422
5276,",",31511
5286,",",31614
5296,",",31715
5306,",",31847
5316,",",31979
5326,",",32137
5336,",",32310
5346,",",32501
5356,",",32768
5366,",",32775
5376,",",32894
5386,",",33001
5396,",",33100
5406,",",33203
5416,",",33310
5426,",",33417
5436,",",33503
5446,",",33600
5456,",",33683
5466,",",33785
5476,",",33889
5486,",",33990
5496,",",34090
5506,",",34187
5516,",",34282
5526,",",34393
5536,",",34511
5546,",",34614
5556,",",34714
5566,",",34810
5576,",",34907
5586,",",34985
5596,",",35093
5606,",",35188
5616,",",35267
5626,",",35375
5636,",",35460
5646,",",35558
5656,",",35655
5666,",",35760
5676,",",35869
5686,",",35992
5696,",",36140
5706,",",36299
5716,",",36497
5726,",",36688
5736,",",36864
5746,",",36913
5756,",",37030
5766,",",37133
5776,",",37230
5786,",",37321
5796,",",37432
5806,",",37529
5816,",",37623
5826,",",37715
5836,",",37807
5846,",",37905
5856,",",38004
5866,",",38109
5876,",",38205
5886,",",38300
5896,",",38393
5906,",",38513
5916,",",38617
5926,",",38719
5936,",",38819
5946,",",38922
5956,",",39015
5966,",",39102
5976,",",39210
5986,",",39296
5996,",",39376
6006,",",39478
6016,",",39568
6026,",",39665
6036,",",39771
6046,",",39877
6056,",",39995
6066,",",40112
6076,",",40258
6086,",",40442
6096,",",40628
6106,",",40818
6116,",",40960
6126,",",41025
6136,",",41143
6146,",",41252
6156,",",41358
6166,",",41448
6176,",",41552
6186,",",41655
6196,",",41753
6206,",",41844
6216,",",41937
6226,",",42041
6236,",",42144
6246,",",42245
6256,",",42335
6266,",",42435
6276,",",42545
6286,",",42658
6296,",",42759
6306,",",42863
6316,",",42955
6326,",",43059
6336,",",43151
6346,",",43248
6356,",",43344
6366,",",43434
6376,",",43519
6386,",",43615
6396,",",43707
6406,",",43809
6416,",",43920
6426,",",44017
6436,",",44144
6446,",",44270
6456,",",44425
6466,",",44611
6476,",",44799
6486,",",45056
6496,",",45056
6506,",",45161
6516,",",45266
6526,",",45374
6536,",",45474
6546,",",45566
6556,",",45680
